"speaker","congress"
"Aenne Brauksiepe","1990_hamburg"
"Alexander von Schwerin","1990_hamburg"
"Alfred Gomolka","1990_hamburg"
"Angela Merkel","1990_hamburg"
"Barbara Schäfer","1990_hamburg"
"Bernd Beck","1990_hamburg"
"Bernhard Vogel","1990_hamburg"
"Christian Schwarz-Schilling","1990_hamburg"
"Christine Lieberknecht","1990_hamburg"
"Claus Jäger","1990_hamburg"
"Cordula Schubert","1990_hamburg"
"Eberhard Diepgen","1990_hamburg"
"Elke Hofmann","1990_hamburg"
"Elmar Pieroth","1990_hamburg"
"Erwin Teufel","1990_hamburg"
"Gerd Gies","1990_hamburg"
"Gunter Bechstein","1990_hamburg"
"Hanna-Renate Laurien","1990_hamburg"
"Hans Geisler","1990_hamburg"
"Hans Katzer","1990_hamburg"
"Heiner Geißler","1990_hamburg"
"Heinrich Steinbrink","1990_hamburg"
"Helmut Kohl","1990_hamburg"
"Helmut Linssen","1990_hamburg"
"Hermann Gröhe","1990_hamburg"
"Horst Rasch","1990_hamburg"
"Horst Waffenschmidt","1990_hamburg"
"Hubert Hüppe","1990_hamburg"
"Johanna Gräfin von Westphalen","1990_hamburg"
"Josef Duchac","1990_hamburg"
"Josef Stock","1990_hamburg"
"Karl Carstens","1990_hamburg"
"Karl-Meinz Kretschmer","1990_hamburg"
"Klaus Töpfer","1990_hamburg"
"Klaus-Martin Kuntze","1990_hamburg"
"Konrad Krampitz","1990_hamburg"
"Kurt Biedenkopf","1990_hamburg"
"Leni Fischer","1990_hamburg"
"Lothar de Maizière","1990_hamburg"
"Marcel Kaufmann","1990_hamburg"
"Marion Walsmann","1990_hamburg"
"Matthias Stern","1990_hamburg"
"Matthias Wissmann","1990_hamburg"
"Norbert Blüm","1990_hamburg"
"Ottfried Hennig","1990_hamburg"
"Peter Hintze","1990_hamburg"
"Peter-Michael Diestel","1990_hamburg"
"Renate Hellwig","1990_hamburg"
"Ricarda Vulpius","1990_hamburg"
"Rita Süssmuth","1990_hamburg"
"Roswitha Verhülsdonk","1990_hamburg"
"Thomas Jakob","1990_hamburg"
"Ulf Fink","1990_hamburg"
"Ulrich Junghanns","1990_hamburg"
"Volker Rühe","1990_hamburg"
"Willfried Martens","1990_hamburg"
"Willibald Böck","1990_hamburg"
"Wolfgang Schäuble","1990_hamburg"
"Alfred Dregger","1991_dresden"
"Angela Merkel ","1991_dresden"
"Arnold Vaatz","1991_dresden"
"Bernhard Ritter","1991_dresden"
"Bruno Orth","1991_dresden"
"Carmen Stange","1991_dresden"
"Christa Thoben","1991_dresden"
"Christian Schneller","1991_dresden"
"Dieter Reinfried","1991_dresden"
"Edward Erroll Jaffke","1991_dresden"
"Elmar Brok","1991_dresden"
"Elmar Pieroth","1991_dresden"
"Erwin Teufel","1991_dresden"
"Frank-Michael Pietzsch","1991_dresden"
"Friedbert Pflüger","1991_dresden"
"Gert Flessing","1991_dresden"
"Gottfried Müller","1991_dresden"
"Hannelore Rönsch","1991_dresden"
"Hans Geisler","1991_dresden"
"Hans-Gert Pöttering","1991_dresden"
"Hans-Henninq Axthelm","1991_dresden"
"Hartmut Schauerte","1991_dresden"
"Heiner Geißler","1991_dresden"
"Helmut Kohl","1991_dresden"
"Helmut Rauber","1991_dresden"
"Hermann Gröhe","1991_dresden"
"Hermann Schnipkoweit","1991_dresden"
"Holger Müller","1991_dresden"
"Hubert Hüppe","1991_dresden"
"Johannes Gerster","1991_dresden"
"Jürgen Langner","1991_dresden"
"Jürgen Schreier","1991_dresden"
"Karl Carstens","1991_dresden"
"Karl-Joachim Kierey","1991_dresden"
"Klaus Herrmann","1991_dresden"
"Klaus Zeh","1991_dresden"
"Kurt Biedenkopf","1991_dresden"
"Kurt-Dieter Grill","1991_dresden"
"Leo Lennartz","1991_dresden"
"Maria Böhmer","1991_dresden"
"Maria Michalk","1991_dresden"
"Matthias Stern","1991_dresden"
"Matthias Wissmann","1991_dresden"
"Michael Dirks","1991_dresden"
"Norbert Blüm","1991_dresden"
"Norbert Lammert","1991_dresden"
"Ottfried Hennig","1991_dresden"
"Peter Hintze","1991_dresden"
"Peter Jacoby","1991_dresden"
"Peter Müller","1991_dresden"
"Petra Uhlmann","1991_dresden"
"Reinhard Göhner","1991_dresden"
"Renate Hellwig","1991_dresden"
"Rita Süssmuth","1991_dresden"
"Siegfried Ernst","1991_dresden"
"Sigrid Kunze","1991_dresden"
"Thomas Stritzl","1991_dresden"
"Ulf Fink","1991_dresden"
"Ulrich Junghanns","1991_dresden"
"Ursula Braun-Moser","1991_dresden"
"Uwe Greve","1991_dresden"
"Uwe Lehmann-Brauns","1991_dresden"
"Werner Dörflinger","1991_dresden"
"Werner Münch","1991_dresden"
"Wolfgang Schäuble","1991_dresden"
"Alexander Graf von Schwerin","1992_duesseldorf"
"Alfred Dregger","1992_duesseldorf"
"Andreas Renner","1992_duesseldorf"
"Angela Merkel","1992_duesseldorf"
"Annette Eisenhut","1992_duesseldorf"
"Armin Laschet","1992_duesseldorf"
"Barbara John","1992_duesseldorf"
"Bernd Jäger","1992_duesseldorf"
"Bernd Schneider","1992_duesseldorf"
"Berndt Seite","1992_duesseldorf"
"Bernhard Vogel","1992_duesseldorf"
"Bodo Henningsen","1992_duesseldorf"
"Bruno Orth","1992_duesseldorf"
"Christa Reichard","1992_duesseldorf"
"Christa Thoben","1992_duesseldorf"
"Christian Metzeroth","1992_duesseldorf"
"Christian Schede","1992_duesseldorf"
"Christian Schwarz-Schilling","1992_duesseldorf"
"Christian Wulff","1992_duesseldorf"
"Christine Lieberknecht","1992_duesseldorf"
"Christoph Bergner","1992_duesseldorf"
"Clemens-August Krapp","1992_duesseldorf"
"Diemut Theato","1992_duesseldorf"
"Dieter Dombrowski","1992_duesseldorf"
"Dieter Lorenz","1992_duesseldorf"
"Doris Pack","1992_duesseldorf"
"Eberhard Diepgen","1992_duesseldorf"
"Eckhard Wälzholz","1992_duesseldorf"
"Editha Limbach","1992_duesseldorf"
"Egon Hohenberger","1992_duesseldorf"
"Elmar Brok","1992_duesseldorf"
"Elmar Pieroth","1992_duesseldorf"
"Erich Fritz","1992_duesseldorf"
"Erwin Teufel","1992_duesseldorf"
"Ferdinand Tillmann","1992_duesseldorf"
"Frank Baumeister","1992_duesseldorf"
"Franz-Josef Leikop","1992_duesseldorf"
"Friedbert Pflüger","1992_duesseldorf"
"Friedhelm Ost","1992_duesseldorf"
"Friedrich Merz","1992_duesseldorf"
"Fritz Tremmel","1992_duesseldorf"
"Georg Gölter","1992_duesseldorf"
"Georg Jarzembowski","1992_duesseldorf"
"Georg Milbradt","1992_duesseldorf"
"Gerhard Stoltenberg","1992_duesseldorf"
"Godelieve Quisthoudt-Rowohl","1992_duesseldorf"
"Günter Rinsche","1992_duesseldorf"
"Günther Krause","1992_duesseldorf"
"Hanna-Renate Laurien","1992_duesseldorf"
"Hannelore Rönsch","1992_duesseldorf"
"Hans Filbinger","1992_duesseldorf"
"Hans Geisler","1992_duesseldorf"
"Hans Waldeck","1992_duesseldorf"
"Hans-Gert Pöttering","1992_duesseldorf"
"Hans-Hermann Ott","1992_duesseldorf"
"Hans-Peter Repnik","1992_duesseldorf"
"Hans-jürgen Doss","1992_duesseldorf"
"Harald Noack","1992_duesseldorf"
"Hedda Meseke","1992_duesseldorf"
"Hedwig Keppelhoff-Wiechert","1992_duesseldorf"
"Heinz Eggert","1992_duesseldorf"
"Heinz-Adolf Hörsken","1992_duesseldorf"
"Helmut Kohl","1992_duesseldorf"
"Helmut Linssen","1992_duesseldorf"
"Herbert Goliasch","1992_duesseldorf"
"Herbert Reul","1992_duesseldorf"
"Heribert Scharrenbroich","1992_duesseldorf"
"Hermann Gröhe","1992_duesseldorf"
"Holger Müller","1992_duesseldorf"
"Horst Köhler","1992_duesseldorf"
"Horst Waffenschmidt","1992_duesseldorf"
"Hubert Hüppe","1992_duesseldorf"
"Irmgard Klingbeil","1992_duesseldorf"
"Joachim Grünewald","1992_duesseldorf"
"Johannes Gerster","1992_duesseldorf"
"Johannes Mertens","1992_duesseldorf"
"Josef Stock","1992_duesseldorf"
"Karl Lamers","1992_duesseldorf"
"Karl von Wogau","1992_duesseldorf"
"Karl-Heinz Hornhues","1992_duesseldorf"
"Klaus Laepple","1992_duesseldorf"
"Klaus Landowsky","1992_duesseldorf"
"Klaus Töpfer","1992_duesseldorf"
"Klaus Zeh","1992_duesseldorf"
"Klaus-Thomas Schüle","1992_duesseldorf"
"Kurt Biedenkopf","1992_duesseldorf"
"Leo Lennartz","1992_duesseldorf"
"Manfred Kanther","1992_duesseldorf"
"Marlene Lenz","1992_duesseldorf"
"Matthias Wissmann","1992_duesseldorf"
"Norbert Blüm","1992_duesseldorf"
"Ottfried Hennig","1992_duesseldorf"
