congress,date,party
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1990_hamburg,10/1/1990,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1991_dresden,12/15/1991,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
1992_duesseldorf,10/26/1992,CDU
