"speaker","congress"
"Andrea Nahles","2002_Berlin"
"Benjamin Mikfeld","2002_Berlin"
"Christoph Matschie","2002_Berlin"
"Edelgard Bulmahn","2002_Berlin"
"Franz Müntefering","2002_Berlin"
"Gerhard Bökel","2002_Berlin"
"Gerhard Schröder","2002_Berlin"
"Harald Ringstorff","2002_Berlin"
"Harald Schartau","2002_Berlin"
"Heidemarie Wieczorek-Zeul","2002_Berlin"
"Horst Kubatschka","2002_Berlin"
"Karin Junker","2002_Berlin"
"Kurt Bodewig","2002_Berlin"
"Martin Pfaff","2002_Berlin"
"Mathias Brotkorb","2002_Berlin"
"Matthias Platzeck","2002_Berlin"
"Niels Annen","2002_Berlin"
"Olaf Scholz","2002_Berlin"
"Ottmar Schreiner","2002_Berlin"
"Peter Friedrich","2002_Berlin"
"Rudolf Scharping","2002_Berlin"
"Sigmar Gabriel","2002_Berlin"
"Ulla Schmidt","2002_Berlin"
"Ursula Engelen-Kefer","2002_Berlin"
"Walter Riester","2002_Berlin"
"Wolfgang Thierse","2002_Berlin"
"alfred hilger","2003_Berlin"
"andrea nahles","2003_Berlin"
"christian reinke","2003_Berlin"
"christoph matschie","2003_Berlin"
"claus möller","2003_Berlin"
"eckart kuhlwein","2003_Berlin"
"erhard eppler","2003_Berlin"
"florian pronold","2003_Berlin"
"franz müntefering","2003_Berlin"
"fritz felgentreu","2003_Berlin"
"gerhard schröder","2003_Berlin"
"gernot grumbach","2003_Berlin"
"hans eichel","2003_Berlin"
"hans-christof dees","2003_Berlin"
"hans-jochen vogel","2003_Berlin"
"harald schartau","2003_Berlin"
"heide simonis","2003_Berlin"
"heidemarie wiezcorek-zeul","2003_Berlin"
"heiko maas","2003_Berlin"
"henning scherf","2003_Berlin"
"horst schmiedbauer","2003_Berlin"
"hubertus heil","2003_Berlin"
"ingrid skarpelis-sperk","2003_Berlin"
"joachim schuster","2003_Berlin"
"jochen ott","2003_Berlin"
"jutta blonkou","2003_Berlin"
"karin junker","2003_Berlin"
"kurt beck","2003_Berlin"
"martin pfaff","2003_Berlin"
"martin rosemann","2003_Berlin"
"michael müller","2003_Berlin"
"olaf scholz","2003_Berlin"
"ottmar schreiner","2003_Berlin"
"peter friedrich","2003_Berlin"
"rainer schmitz","2003_Berlin"
"rudolf hausmann","2003_Berlin"
"sigmar gabriel","2003_Berlin"
"stefan gran","2003_Berlin"
"thorsten schäfer-gümbel","2003_Berlin"
"ulla schmidt","2003_Berlin"
"ulrich maurer","2003_Berlin"
"ulrike nissen","2003_Berlin"
"volker strehl","2003_Berlin"
"wolfgang clement","2003_Berlin"
"wolfgang thierse","2003_Berlin"
"Alfred Hilger","2003_Bochum"
"Alfred Staudt","2003_Bochum"
"Andrea Nahles","2003_Bochum"
"Andrea Ypsilanti","2003_Bochum"
"Andreas Matthae","2003_Bochum"
"Angelica Dullinger","2003_Bochum"
"Angelica Schwall-Düren","2003_Bochum"
"Antonio Guterres","2003_Bochum"
"Apostolos Tsalastras","2003_Bochum"
"Arne Schneider","2003_Bochum"
"Bernd Faulenbach","2003_Bochum"
"Bernhard Sterz","2003_Bochum"
"Birgit Fischer","2003_Bochum"
